  Maa        Kahvi   Tee   Olut  Viini   Viina
  Suomi       12.5  0.15   54.7    7.6     2.7
  Ruotsi      12.9  0.30   58.3    7.9     2.9
  Norja        9.4  0.19   43.5    3.1     1.8
  Tanska      11.8  0.41  113.9   10.4     1.7
  Englanti     1.8  3.49  113.7    5.1     1.4
  Irlanti      0.2  3.73  124.5    3.8     1.9
  Hollanti     9.2  0.58   75.5    9.7     2.7
  Sveitsi      9.1  0.25   73.5   44.9     2.1
  Ranska       5.2  0.10   44.5  104.3     2.5
  Italia       3.6  0.06   13.6  106.6     2.0
  Espanja      2.5  0.03   43.6   73.2     2.7
  Portugali    2.2  0.03   27.5   89.3     0.9
